"Zeitstempel","Wie alt sind Sie? ","Wie ist Ihre Wohnsituation? (Wohneigentum?) ","Wie ist Ihre Wohnsituation? (Haus oder Wohnung?) ","Wie ist Ihre Wohnsituation? (Großstadt, Stadt, Land?) ","Wie ist Ihre Beschäftigung? ","Bitte schätzen Sie das monatliche Netto Gesamteinkommen in Ihrem Haushalt in Euro. (Wenn Sie dazu keine Angaben machen möchten, überspringen Sie diese Frage bitte.)","Besitzen Sie ein Auto? (auch Leasing) ","Wie interessiert sind Sie an einem E-Auto als Ihr nächstes(/erstes) KFZ? (Wenn Sie generell kein Interesse am Besitz eines Autos haben, überspringen Sie diese Frage bitte) ","Welchen Anteil an Ihrer Gesamtmobilität macht Ihr Auto aus? (falls Sie kein Auto besitzen, wählen Sie bitte 0% aus) ","Welchen Anteil an Ihrer Gesamtmobilität macht der ÖPNV aus? ","Was würde den ÖPNV für Sie attraktiver machen? ","Was würde E-Autos für Sie attraktiver machen? "
"2024/04/22 8:37:23 PM OEZ","16-19","Wohneigentum","Haus","Land","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","","Auto","2","90%","10%","kürzere Wartezeit zwischen zwei Zügen/Bussen;bessere Zuverlässigkeit","mehr/besser verteilte Lademöglichkeiten;mehr Reichweite;mehr Sicherheit (Brandgefahr, ...);längere/bessere Garantie auf Batterien;keine undurchsichtige Preisstruktur"
"2024/04/22 8:50:12 PM OEZ","20-25","gemietet","Wohnung","Großstadt (min. 100.000 Einwohner)","Angestellter","","Auto","3","90%","10%","günstigere Preise;bessere Sauberkeit;bessere Zuverlässigkeit","günstigere Preise;mehr/besser verteilte Lademöglichkeiten;mehr Reichweite;längere/bessere Garantie auf Batterien"
"2024/04/22 9:20:47 PM OEZ","20-25","gemietet","Haus","Land","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","4000","Auto","10","100%","10%","kürzere Wartezeit zwischen zwei Zügen/Bussen;In meinem Dorf fehlen mehrere wichtige Verbindungen, die mir den ÖPNV überhaupt ermöglichen würden. Demnach; mehr Anlaufpunkte.","günstigere Preise;mehr/besser verteilte Lademöglichkeiten"
"2024/04/23 8:59:21 AM OEZ","26-35","gemietet","Wohnung","Großstadt (min. 100.000 Einwohner)","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","2400","Auto","1","80%","10%","günstigere Preise;kürzere Wartezeit zwischen zwei Zügen/Bussen;bessere Zuverlässigkeit","günstigere Preise;mehr/besser verteilte Lademöglichkeiten;mehr Reichweite;Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos)"
"2024/04/23 9:48:10 AM OEZ","20-25","Wohneigentum","Haus","Land","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","","Auto","1","100%","20%","günstigere Preise;kürzere Wartezeit zwischen zwei Zügen/Bussen;bessere Zuverlässigkeit","günstigere Preise;gute Budget-E-Autos;mehr Reichweite;längere/bessere Garantie auf Batterien;Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos);keine undurchsichtige Preisstruktur"
"2024/04/23 3:37:21 PM OEZ","20-25","gemietet","Wohnung","Stadt","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","","kein Auto","5","0%","90%","günstigere Preise;bessere Sauberkeit;bessere Zuverlässigkeit","günstigere Preise"
"2024/04/23 3:41:34 PM OEZ","26-35","gemietet","Wohnung","Großstadt (min. 100.000 Einwohner)","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","1100","kein Auto","7","0%","70%","günstigere Preise","gute Budget-E-Autos;mehr/besser verteilte Lademöglichkeiten;mehr Reichweite;Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos)"
"2024/04/23 4:47:08 PM OEZ","20-25","Wohneigentum","Haus","Großstadt (min. 100.000 Einwohner)","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","","Auto","4","100%","10%","bessere Sauberkeit;bessere Zuverlässigkeit","günstigere Preise;mehr Reichweite;Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos)"
"2024/04/23 5:24:42 PM OEZ","26-35","gemietet","Wohnung","Großstadt (min. 100.000 Einwohner)","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","900€","kein Auto","3","0%","80%","kürzere Wartezeit zwischen zwei Zügen/Bussen;geringere Distanz zwischen Haltestellen;bessere Zuverlässigkeit","mehr/besser verteilte Lademöglichkeiten;längere/bessere Garantie auf Batterien;Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos)"
"2024/04/23 5:42:00 PM OEZ","20-25","Wohneigentum","Wohnung","Stadt","Student","","Auto","1","90%","30%","kürzere Wartezeit zwischen zwei Zügen/Bussen","Attraktiveres Design welches mehr Emotionen weckt"
"2024/04/25 9:27:29 AM OEZ","20-25","Wohneigentum","Haus","Land","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","5000","Auto","6","40%","40%","kürzere Wartezeit zwischen zwei Zügen/Bussen;bessere Zuverlässigkeit","günstigere Preise;gute Budget-E-Autos"
"2024/05/03 11:09:52 AM OESZ","20-25","gemietet","Wohnung","Stadt","dualer Student (impliziert Anstellung bei einem Partner Unternehmen)","3800","kein Auto","","0%","100%","bessere Zuverlässigkeit","Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos);keine undurchsichtige Preisstruktur"
