"Zeitstempel","Wie alt sind Sie? ","Wie ist Ihre Wohnsituation? (Wohneigentum?) ","Wie ist Ihre Wohnsituation? (Haus oder Wohnung?) ","Wie ist Ihre Wohnsituation? (Großstadt, Stadt, Land?) ","Wie ist Ihre Beschäftigung? ","Bitte schätzen Sie das monatliche Netto Gesamteinkommen in Ihrem Haushalt in Euro. (Wenn Sie dazu keine Angaben machen möchten, überspringen Sie diese Frage bitte.)","Besitzen Sie ein Auto? (auch Leasing) ","Wie interessiert sind Sie an einem E-Auto als Ihr nächstes(/erstes) KFZ? (Wenn Sie generell kein Interesse am Besitz eines Autos haben, überspringen Sie diese Frage bitte) ","Welchen Anteil an Ihrer Gesamtmobilität macht Ihr Auto aus? (falls Sie kein Auto besitzen, wählen Sie bitte 0% aus) ","Welchen Anteil an Ihrer Gesamtmobilität macht der ÖPNV aus? ","Was würde den ÖPNV für Sie attraktiver machen? ","Was würde E-Autos für Sie attraktiver machen? "
"2024/04/29 4:52:38 PM OESZ","26-35","gemietet","Wohnung","Land","Azubi","4500","Auto","5","80%","20%","günstigere Preise;bessere Zuverlässigkeit","günstigere Preise;mehr/besser verteilte Lademöglichkeiten;mehr Reichweite;längere/bessere Garantie auf Batterien"
"2024/04/29 5:06:52 PM OESZ","26-35","Wohneigentum","Haus","Land","Angestellter","6500","Auto","3","70%","10%","günstigere Preise;kürzere Wartezeit zwischen zwei Zügen/Bussen;bessere Zuverlässigkeit","günstigere Preise;mehr Reichweite;längere/bessere Garantie auf Batterien"
"2024/04/29 5:12:01 PM OESZ","20-25","gemietet","Wohnung","Stadt","Angestellter","2300€","Auto","3","90%","0%","günstigere Preise","günstigere Preise;mehr/besser verteilte Lademöglichkeiten;mehr Reichweite;längere/bessere Garantie auf Batterien;Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos);keine undurchsichtige Preisstruktur"
"2024/04/29 5:31:01 PM OESZ","46-55","gemietet","Wohnung","Stadt","Angestellter","3200","Auto","6","90%","10%","kürzere Wartezeit zwischen zwei Zügen/Bussen;bessere Zuverlässigkeit","gute Budget-E-Autos;mehr/besser verteilte Lademöglichkeiten;mehr Reichweite"
"2024/04/29 5:33:21 PM OESZ","20-25","gemietet","Doppelhaushälfte","Land","Angestellter","2800","Auto","9","70%","20%","günstigere Preise;geringere Distanz zwischen Haltestellen;bessere Zuverlässigkeit","günstigere Preise;mehr Reichweite;keine undurchsichtige Preisstruktur"
"2024/04/29 6:14:12 PM OESZ","56-65","Wohneigentum","Haus","Land","Angestellter","5800","E-Auto","10","80%","10%","kürzere Wartezeit zwischen zwei Zügen/Bussen;bessere Sauberkeit;bessere Zuverlässigkeit","günstigere Preise;Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos);keine undurchsichtige Preisstruktur"
"2024/04/29 6:39:30 PM OESZ","26-35","gemietet","Wohnung","Großstadt (min. 100.000 Einwohner)","Angestellter","5500","E-Auto","10","70%","30%","günstigere Preise;kürzere Wartezeit zwischen zwei Zügen/Bussen;bessere Zuverlässigkeit","günstigere Preise;gute Budget-E-Autos;mehr/besser verteilte Lademöglichkeiten;mehr Reichweite;längere/bessere Garantie auf Batterien;Einheitlichkeit der Lademöglichkeit (keine komplizierten Abos)"
"2024/04/29 6:57:05 PM OESZ","46-55","Wohneigentum","Doppelhaushälfte","Stadt","Selbstständiger","","Auto","7","60%","10%","günstigere Preise;bessere Zuverlässigkeit","günstigere Preise;mehr Reichweite"
"2024/04/29 9:29:10 PM OESZ","0-15","gemietet","Wohnung","Stadt","Schüler","3.300€","kein Auto","6","0%","80%","kürzere Wartezeit zwischen zwei Zügen/Bussen;geringere Distanz zwischen Haltestellen","günstigere Preise;mehr/besser verteilte Lademöglichkeiten;mehr Reichweite"
"2024/04/30 2:29:35 AM OESZ","26-35","gemietet","Wohnung","Großstadt (min. 100.000 Einwohner)","Angestellter","","Auto","4","90%","0%","günstigere Preise;kürzere Wartezeit zwischen zwei Zügen/Bussen;geringere Distanz zwischen Haltestellen;bessere Sauberkeit;bessere Zuverlässigkeit","günstigere Preise;mehr/besser verteilte Lademöglichkeiten;mehr Reichweite;mehr Sicherheit (Brandgefahr, ...);längere/bessere Garantie auf Batterien"
